tweet_id,favorites,retweets,user_followers,user_favourites,date_time
675489971617296384,1336,622,7769842,141082,2015-12-12 01:38:53
675483430902214656,1890,1014,7769842,141082,2015-12-12 01:12:54
675432746517426176,1562,593,7769842,141082,2015-12-11 21:51:30
675372240448454658,1733,529,7769842,141082,2015-12-11 17:51:04
675362609739206656,1072,237,7769842,141082,2015-12-11 17:12:48
675354435921575936,33604,17912,7769842,141082,2015-12-11 16:40:19
675349384339542016,4000,2350,7769842,141082,2015-12-11 16:20:15
675334060156301312,2846,1346,7769842,141082,2015-12-11 15:19:21
675166823650848770,3699,1674,7769842,141082,2015-12-11 04:14:49
675153376133427200,6427,2718,7769842,141082,2015-12-11 03:21:23
675149409102012420,3826,1752,7769842,141082,2015-12-11 03:05:37
675147105808306176,965,250,7769842,141082,2015-12-11 02:56:28
675146535592706048,1221,327,7769842,141082,2015-12-11 02:54:12
675145476954566656,2185,940,7769842,141082,2015-12-11 02:49:59
675135153782571009,1325,513,7769842,141082,2015-12-11 02:08:58
675113801096802304,1993,814,7769842,141082,2015-12-11 00:44:07
675111688094527488,985,264,7769842,141082,2015-12-11 00:35:44
675109292475830276,2857,1180,7769842,141082,2015-12-11 00:26:12
675047298674663426,1084,342,7769842,141082,2015-12-10 20:19:52
675015141583413248,2772,1247,7769842,141082,2015-12-10 18:12:05
675006312288268288,1006,236,7769842,141082,2015-12-10 17:37:00
675003128568291329,1589,490,7769842,141082,2015-12-10 17:24:21
674999807681908736,2287,1142,7769842,141082,2015-12-10 17:11:09
674805413498527744,878,368,7769842,141082,2015-12-10 04:18:42
674800520222154752,3066,891,7769842,141082,2015-12-10 03:59:15
674793399141146624,2553,1132,7769842,141082,2015-12-10 03:30:58
674790488185167872,1128,260,7769842,141082,2015-12-10 03:19:24
674788554665512960,826,218,7769842,141082,2015-12-10 03:11:43
674781762103414784,2040,1250,7769842,141082,2015-12-10 02:44:43
674774481756377088,1146,494,7769842,141082,2015-12-10 02:15:47
674767892831932416,1861,819,7769842,141082,2015-12-10 01:49:36
674764817387900928,797,247,7769842,141082,2015-12-10 01:37:23
674754018082705410,1386,466,7769842,141082,2015-12-10 00:54:28
674752233200820224,1485,483,7769842,141082,2015-12-10 00:47:23
674743008475090944,1434,574,7769842,141082,2015-12-10 00:10:43
674742531037511680,500,53,7769842,141082,2015-12-10 00:08:50
674739953134403584,1133,409,7769842,141082,2015-12-09 23:58:35
674737130913071104,660,96,7769842,141082,2015-12-09 23:47:22
674690135443775488,1172,484,7769842,141082,2015-12-09 20:40:38
674670581682434048,1642,676,7769842,141082,2015-12-09 19:22:56
674664755118911488,944,263,7769842,141082,2015-12-09 18:59:46
674646392044941312,1462,516,7769842,141082,2015-12-09 17:46:48
674644256330530816,1047,277,7769842,141082,2015-12-09 17:38:19
674638615994089473,1715,601,7769842,141082,2015-12-09 17:15:54
674632714662858753,1531,598,7769842,141082,2015-12-09 16:52:27
674606911342424069,957,102,7769842,141082,2015-12-09 15:09:55
674468880899788800,6339,2131,7769842,141082,2015-12-09 06:01:26
674447403907457024,1087,367,7769842,141082,2015-12-09 04:36:06
674436901579923456,1135,407,7769842,141082,2015-12-09 03:54:22
674422304705744896,1462,554,7769842,141082,2015-12-09 02:56:22
674416750885273600,693,145,7769842,141082,2015-12-09 02:34:18
